id;idade;sexo;estado_civil;escola;Qte_dependentes;tempo_ultimoservico;trabalha;vl_salario_mil;reg_moradia;casa_propria;vl_imovel_em_mil;Qte_cartoes;Qte_carros;SCORE_CREDITO
708173433;26;F;solteiro;ensino fundam;0;12;1;56166,39;4;0;0;1;0;287
708174708;38;M;casado;ensino medio;4;25;1;59566,22;6;0;0;1;0;335
708176208;48;F;casado;ensino medio;1;32;1;70540,06;4;0;0;1;2;572
708177333;51;F;casado;graduacao;2;33;1;17794,06;5;0;0;2;1;354
708178608;31;F;casado;ensino medio;0;34;0;0;4;0;0;1;1;358
708185208;27;M;solteiro;ensino medio;0;15;1;54289,27;4;0;0;1;0;176
708186933;33;M;solteiro;ensino medio;0;33;1;85704,92;4;0;0;1;1;351
708190158;38;F;solteiro;graduacao;0;23;1;18443,22;2;1;275000;1;1;276
708193008;41;M;solteiro;mestrado;1;27;1;119905,78;3;0;0;1;1;419
708195633;40;M;na;graduacao;2;30;1;122226,6;5;0;0;2;1;590
708197358;57;M;na;mestrado;2;49;1;147676,6;4;0;0;1;0;715
708204033;36;F;solteiro;ensino fundam;2;23;1;20154,96;3;0;0;1;0;281
708205083;38;F;casado;graduacao;1;24;1;21978,76;6;0;0;1;2;539
708207783;50;F;solteiro;graduacao;0;39;1;23568,53;1;1;468000;1;1;493
708208758;53;M;solteiro;ensino medio;0;42;1;130835,68;6;0;0;1;1;403
708211383;35;F;solteiro;ensino medio;0;24;1;19941,83;3;0;0;1;1;414
708212658;38;F;casado;ensino medio;3;15;1;17096,82;6;0;0;1;1;294
708216108;56;F;casado;ensino fundam;1;43;1;69803,35;5;0;0;1;0;383
708217758;63;M;casado;ensino medio;2;47;1;105199,24;5;0;0;1;1;476
708219108;49;M;divorciado;ensino fundam;3;37;1;138428,88;2;1;730000;1;1;642
708219858;39;M;solteiro;ensino medio;0;23;1;64109,02;6;0;0;1;1;412
708222558;37;F;casado;ensino fundam;2;34;1;20770,5;6;0;0;1;1;474
708223383;47;F;casado;graduacao;3;36;0;0;6;0;0;1;0;406
708224133;61;M;solteiro;mestrado;0;47;1;75017,81;1;1;443000;1;0;487
708225483;47;M;casado;ensino medio;4;34;1;130864,48;3;1;425000;1;0;567
708226833;53;M;casado;graduacao;1;45;1;222991,17;1;1;1325000;3;2;938
708229308;49;F;casado;ensino medio;2;39;1;73577,54;5;0;0;1;1;511
708231183;30;M;divorciado;mestrado;1;19;0;0;5;0;0;1;0;394
708234558;55;F;divorciado;ensino fundam;2;41;1;24074,2;5;0;0;1;1;472
708238833;57;F;casado;graduacao;3;34;1;18830,37;6;0;0;1;1;326
708241233;52;F;solteiro;ensino fundam;0;44;1;17532,39;3;0;0;1;1;353
708242283;29;M;solteiro;ensino fundam;0;33;1;85364,08;5;0;0;1;1;462
708243483;53;M;casado;ensino fundam;3;41;1;197290,27;4;0;0;1;0;548
708244458;47;F;casado;ensino fundam;2;32;1;21180,19;3;1;349000;1;1;475
708245808;35;M;casado;ensino medio;3;42;1;107828,26;3;0;0;1;0;807
708248358;42;M;na;ensino medio;4;36;1;114884,82;2;1;1486000;2;0;807
708249708;48;F;casado;ensino fundam;1;36;1;18109,25;3;1;299000;1;1;441
708252108;64;M;solteiro;ensino fundam;0;50;1;76209,2;6;0;0;1;1;545
708253458;59;F;solteiro;mestrado;0;46;1;144905,39;4;0;0;1;0;529
708254733;41;F;solteiro;ensino fundam;1;32;1;22943,46;5;0;0;1;1;515
708255633;36;M;solteiro;ensino medio;0;25;1;117354,43;3;0;0;1;0;366
708260208;43;F;solteiro;mestrado;2;33;1;21831,07;4;0;0;1;1;451
708266883;34;F;solteiro;ensino medio;0;34;1;17348,59;1;1;231000;1;0;309
708267858;65;F;casado;graduacao;0;34;1;73721,41;5;0;0;1;1;405
708269583;42;F;divorciado;mestrado;3;26;1;21238,84;6;0;0;1;0;463
708271833;42;M;solteiro;ensino medio;0;34;1;64647,07;3;0;0;2;0;474
708272808;45;M;solteiro;ensino medio;2;34;1;20317,33;4;0;0;1;0;347
708273858;40;M;divorciado;ensino medio;3;30;1;183985,45;3;1;373000;1;1;621
708276183;52;F;casado;ensino fundam;3;41;1;18691,83;2;1;155000;1;2;434
708281433;57;F;casado;ensino medio;2;35;1;23083,99;5;0;0;1;0;409
708285108;42;M;solteiro;ensino medio;1;37;1;80674,81;1;1;1351000;1;0;618
708286683;57;M;solteiro;mestrado;0;40;1;140741,2;6;0;0;1;1;561
708288108;43;M;na;doutorado;4;25;1;119926,83;2;1;215000;1;2;399
708290208;43;F;casado;graduacao;3;28;1;20225,23;3;1;312000;2;0;570
708291633;33;F;na;doutorado;2;18;1;92480;3;1;510000;1;1;472
708292833;35;M;solteiro;graduacao;0;34;1;174428,53;4;0;0;1;0;526
708295533;65;F;casado;ensino fundam;0;53;1;19717,05;5;0;0;1;1;446
708296883;44;F;solteiro;ensino medio;0;37;1;62039,62;3;0;0;1;0;257
708298233;49;F;casado;ensino medio;3;35;1;18511,2;4;0;0;1;1;360
708300483;66;F;casado;doutorado;0;52;1;108150,73;5;0;0;1;2;522
708301683;40;M;casado;mestrado;2;30;1;131438,11;6;0;0;1;1;664
708303108;50;F;casado;ensino medio;2;39;1;24109,85;5;0;0;1;1;547
708307533;42;M;casado;mestrado;2;28;1;95180,3;1;1;413000;1;1;452
708313608;53;M;casado;ensino fundam;3;40;1;130516,78;5;0;0;1;1;389
708314808;53;F;casado;ensino fundam;2;40;0;0;5;0;0;1;0;279
708316008;59;F;solteiro;ensino medio;0;34;0;0;3;0;0;1;0;270
708319908;37;M;solteiro;ensino medio;0;16;1;125584,49;1;1;867000;1;0;338
708323208;49;F;casado;mestrado;3;34;1;19275,5;4;0;0;1;0;361
708324483;47;F;solteiro;ensino fundam;1;36;1;22682,9;3;0;0;1;1;491
708330858;57;M;casado;ensino medio;3;35;1;196305,36;2;1;218000;1;1;361
708331758;47;F;divorciado;mestrado;2;36;0;0;3;1;373000;2;0;482
708332808;47;M;casado;mestrado;2;39;1;85832,76;2;1;1438000;1;1;737
708334158;46;F;divorciado;ensino medio;3;32;1;20378,36;4;0;0;1;0;471
708337683;51;M;solteiro;mestrado;0;38;1;101330,58;4;0;0;1;0;515
708338958;58;F;solteiro;ensino medio;0;35;1;23000,39;5;0;0;1;0;344
708340758;41;M;casado;graduacao;4;31;1;27071,34;2;1;811000;1;1;602
708341958;31;F;divorciado;ensino fundam;1;19;1;20144,75;2;1;448000;1;1;411
708344358;53;F;casado;graduacao;3;44;0;0;5;0;0;1;0;262
708347583;37;F;casado;mestrado;4;35;1;17024,87;4;0;0;1;0;321
708354858;51;M;solteiro;doutorado;0;40;1;207034,63;2;1;819000;1;1;696
708355683;46;F;casado;ensino medio;4;36;0;0;3;1;298000;1;1;430
708357183;47;F;solteiro;ensino fundam;0;36;1;21055,27;4;0;0;1;0;393
708358683;46;M;casado;ensino medio;2;32;1;126254,34;6;0;0;2;1;589
708360108;50;M;solteiro;ensino fundam;0;40;1;70096,06;3;0;0;1;0;415
708361833;44;M;casado;ensino medio;4;34;1;127563,12;3;1;365000;1;1;590
708367908;56;F;casado;mestrado;1;46;1;24021,96;6;0;0;1;0;491
708369633;34;F;casado;ensino medio;3;35;1;24726,43;6;0;0;3;1;622
708371733;41;F;casado;graduacao;3;14;1;22178,65;1;1;493000;1;0;328
708373083;40;F;casado;ensino fundam;4;27;1;62350,58;1;1;203000;1;0;388
708375858;47;F;divorciado;graduacao;4;32;1;22620,47;5;0;0;1;2;536
708376983;58;F;solteiro;ensino fundam;0;48;0;0;5;0;0;1;0;323
708378108;39;F;casado;doutorado;1;33;1;66486,33;5;0;0;1;1;507
708382083;49;M;casado;graduacao;5;34;1;127801,35;6;0;0;1;1;386
708384033;45;F;casado;mestrado;3;32;1;19177,7;3;1;247000;1;1;401
708385533;49;F;casado;ensino medio;1;35;1;31697,15;2;1;952000;2;1;682
708386958;47;F;casado;ensino fundam;3;31;1;18515,36;3;1;195000;1;1;336
708387933;49;F;casado;ensino fundam;2;38;1;39572,42;2;1;1436000;1;0;690
708390633;52;F;casado;ensino medio;3;41;1;23467,68;5;0;0;1;2;645
708393633;41;F;casado;graduacao;0;29;1;22117,6;4;0;0;1;0;515
708394908;44;M;solteiro;graduacao;0;32;1;65434,79;5;0;0;1;0;340
708396033;45;F;casado;mestrado;2;27;1;34914,09;1;1;1226000;1;1;606
708397008;54;F;casado;ensino medio;4;41;0;0;3;1;433000;1;1;404
708398283;37;F;casado;ensino medio;1;27;1;59468,44;5;0;0;1;1;285
708399858;45;F;casado;graduacao;3;33;1;22771,49;2;1;475000;1;1;440
708402333;48;F;divorciado;doutorado;2;35;1;102411,32;6;0;0;1;1;472
708403308;37;M;solteiro;ensino fundam;0;23;1;63160,04;3;0;0;2;0;385
708404883;45;F;solteiro;graduacao;0;35;0;0;4;0;0;1;0;436
708406083;35;F;casado;ensino fundam;0;21;1;21929,28;5;0;0;1;1;469
708412758;33;F;solteiro;ensino medio;0;34;1;17089,21;5;0;0;1;0;325
708414033;50;M;casado;ensino medio;4;35;1;68901,76;6;0;0;1;1;504
708416433;41;F;solteiro;graduacao;0;33;1;18608,27;4;0;0;1;1;351
708419733;47;M;solteiro;ensino fundam;0;36;1;100476,67;5;0;0;1;1;558
708421833;45;F;solteiro;ensino medio;1;33;1;16992,34;6;0;0;1;1;314
708423933;51;M;solteiro;doutorado;0;38;1;67680,24;3;0;0;1;0;374
708426483;56;F;solteiro;ensino medio;0;30;1;22752,74;4;0;0;1;1;565
708427908;52;F;na;ensino fundam;4;36;1;23900,32;6;0;0;1;1;527
708428958;39;M;solteiro;mestrado;0;32;1;133163,47;1;1;918000;3;1;743
708431433;41;M;casado;ensino medio;3;28;1;177873,68;3;1;296000;1;1;386
708433683;54;M;casado;ensino medio;2;35;1;136634,38;3;1;441000;1;1;511
708434733;56;M;casado;ensino medio;1;47;1;100020,22;6;0;0;1;1;468
708438033;36;F;casado;ensino fundam;2;24;1;18203,45;3;1;262000;1;0;400
708442158;51;F;casado;ensino fundam;1;36;0;0;3;1;380000;1;0;391
708445608;48;M;casado;ensino fundam;3;34;1;18599,55;4;0;0;1;1;449
708446808;33;M;casado;doutorado;1;33;1;113446,81;4;0;0;1;1;400
708447858;59;F;casado;mestrado;2;40;1;43874,67;5;0;0;1;1;775
708450033;43;F;na;graduacao;3;11;1;23055,65;6;0;0;1;1;332
708451233;46;F;na;ensino medio;3;33;1;21520,37;5;0;0;1;0;542
708453408;40;M;divorciado;ensino fundam;4;29;1;123047,5;6;0;0;1;1;498
708455883;57;M;solteiro;ensino medio;0;33;1;131852,8;2;1;263000;1;1;352
708459633;38;M;casado;graduacao;2;25;1;87377,86;4;0;0;1;0;278
708462258;51;F;casado;graduacao;1;39;1;43760,67;1;1;1656000;1;0;696
708469533;42;F;casado;mestrado;3;31;1;127072,45;6;0;0;1;1;504
708472008;44;F;casado;mestrado;3;35;1;27591,92;2;1;763000;1;1;654
708473133;55;F;casado;ensino medio;1;43;1;24237,85;4;0;0;1;1;509
708474333;42;M;casado;ensino medio;3;28;1;102231,95;3;1;791000;1;1;602
708476808;54;M;divorciado;doutorado;4;33;1;197335;6;0;0;1;1;586
708478233;48;F;casado;ensino medio;3;34;1;70362,68;4;0;0;1;1;510
708480333;65;M;solteiro;ensino fundam;0;34;1;72136,72;5;0;0;1;0;353
708482658;41;M;casado;ensino medio;3;36;1;144911,31;2;1;1559000;1;1;751
708483708;51;M;casado;doutorado;2;35;1;200738,76;5;0;0;1;1;692
708486033;55;F;casado;doutorado;3;34;1;102190,17;3;1;178000;1;1;462
708488208;57;F;casado;mestrado;3;44;1;20581,85;5;0;0;1;1;508
708489258;40;F;casado;ensino medio;3;24;1;20217,38;5;0;0;1;1;440
708491508;51;M;solteiro;graduacao;0;39;1;101551,72;3;0;0;1;1;532
708492558;42;M;casado;ensino fundam;3;33;1;90468,69;5;0;0;1;1;426
708494583;49;F;divorciado;mestrado;3;35;1;21623,92;4;0;0;1;0;362
708496833;60;M;solteiro;graduacao;0;48;1;32455,96;4;0;0;1;1;693
708498033;44;F;casado;ensino medio;3;32;1;66286,57;3;1;279000;1;2;547
708499608;49;M;solteiro;doutorado;2;35;1;68563,78;6;0;0;2;0;448
708500883;48;M;solteiro;mestrado;0;39;1;76461,23;2;1;838000;2;1;679
708501783;43;M;casado;graduacao;2;34;1;184570,76;6;0;0;1;0;591
708502908;61;M;solteiro;graduacao;0;48;1;109570,47;5;0;0;2;0;646
708504783;47;M;na;mestrado;3;33;1;67336,42;3;1;348000;1;1;535
708506508;54;M;casado;graduacao;3;40;1;203673,64;5;0;0;1;1;590
708507483;43;F;divorciado;ensino fundam;3;27;1;22795,45;6;0;0;1;2;558
708508758;62;F;casado;ensino medio;0;46;1;18353,39;2;1;219000;1;1;388
708510858;60;F;solteiro;mestrado;0;46;1;44627,57;1;1;1548000;1;1;733
708511983;37;M;casado;ensino medio;3;15;1;119612,72;5;0;0;1;1;400
708513183;39;M;casado;mestrado;1;27;1;62064,79;4;0;0;1;1;365
708514383;38;F;casado;ensino fundam;2;28;0;0;2;1;431000;1;0;280
708515358;40;F;casado;graduacao;1;33;1;21378,51;6;0;0;1;1;531
708516558;37;F;casado;graduacao;2;34;1;20674,55;3;1;416000;1;1;449
708519108;46;F;casado;ensino medio;1;21;0;0;3;1;204000;1;1;282
708522033;50;M;casado;ensino fundam;2;36;1;120696,85;2;1;1506000;1;1;720
708525108;54;F;casado;ensino medio;2;44;0;0;4;0;0;1;1;467
708528483;43;F;divorciado;ensino medio;4;20;0;0;6;0;0;1;1;233
708532308;37;M;solteiro;mestrado;0;34;1;90039,38;4;0;0;1;0;432
708534033;45;F;solteiro;ensino medio;0;34;1;69144,97;5;0;0;1;0;453
708535158;39;M;na;doutorado;2;28;1;129653,73;1;1;851000;1;0;539
708536283;35;M;solteiro;doutorado;0;25;1;114735,14;3;0;0;1;0;283
708538608;50;F;casado;ensino fundam;4;32;0;0;6;0;0;1;2;470
708539583;44;F;casado;ensino fundam;3;24;0;0;6;0;0;1;0;358
708542283;58;F;casado;ensino fundam;1;44;1;24587,47;5;0;0;1;0;595
708543258;36;M;casado;graduacao;3;33;1;115811,1;5;0;0;1;1;379
708545058;45;F;solteiro;ensino medio;0;32;1;70307,11;5;0;0;1;1;532
708549033;50;F;casado;graduacao;1;31;1;23911,1;4;0;0;1;0;401
708551508;51;F;solteiro;ensino fundam;0;33;1;24254,62;4;0;0;1;1;522
708553008;38;F;solteiro;graduacao;0;34;1;65501,39;1;1;471000;1;0;408
708555633;32;F;solteiro;graduacao;0;13;1;35765,22;2;1;1516000;1;1;559
708557358;43;M;casado;ensino fundam;2;26;1;92721,56;4;0;0;1;1;473
708558408;50;M;solteiro;graduacao;0;28;1;68933,09;5;0;0;1;1;498
708559533;40;M;casado;mestrado;1;33;1;124331,09;6;0;0;1;1;517
708560733;42;F;divorciado;ensino medio;3;34;1;22404,88;5;0;0;1;1;512
708563433;65;F;solteiro;graduacao;0;50;0;0;3;0;0;1;1;471
708564858;33;M;casado;ensino fundam;2;21;1;183356,68;2;1;934000;3;0;659
708568983;40;M;casado;graduacao;3;27;1;101562,95;2;1;811000;1;1;651
708572658;49;M;casado;ensino medio;5;44;1;121177,66;1;1;1504000;2;0;838
708573933;45;F;solteiro;ensino medio;0;36;1;86568,91;2;1;1475000;2;0;691
708575058;46;F;divorciado;mestrado;3;36;1;67481,01;2;1;330000;1;1;465
708577308;43;F;divorciado;ensino fundam;1;34;1;17457,12;4;0;0;1;1;345
708579633;40;M;divorciado;ensino fundam;4;26;1;60361,56;4;0;0;3;1;409
708580908;56;M;casado;graduacao;3;34;1;100194,87;3;1;287000;1;1;465
708582858;38;M;solteiro;ensino medio;0;22;1;91066,73;3;0;0;1;1;482
708584208;36;F;na;ensino medio;2;34;1;17816,18;5;0;0;1;0;385
708585933;44;F;solteiro;graduacao;1;34;1;21831,08;6;0;0;1;0;424
708588408;53;M;solteiro;mestrado;0;34;1;102848,74;6;0;0;1;0;435
708590658;65;F;casado;mestrado;1;50;1;145112,47;5;0;0;1;1;564
708593883;39;M;casado;ensino fundam;2;25;1;88265,89;3;1;181000;1;0;273
708595158;27;F;solteiro;ensino medio;0;35;1;16482,81;6;0;0;1;0;270
708596283;35;F;solteiro;mestrado;0;21;1;18246,32;3;0;0;1;0;316
708597558;42;M;solteiro;graduacao;0;32;1;95331,38;4;0;0;1;1;498
708600033;46;M;casado;ensino medio;2;36;1;69131,93;4;0;0;1;1;532
708602283;40;F;casado;mestrado;4;33;0;0;3;1;394000;1;1;394
708606633;56;F;casado;ensino medio;3;41;1;69642,92;6;0;0;1;0;445
708611733;42;F;casado;ensino fundam;1;29;0;0;4;0;0;1;2;463
708614058;56;F;divorciado;ensino medio;2;43;1;23208,89;4;0;0;1;0;516
708615183;44;M;casado;graduacao;2;32;1;98765,07;4;0;0;1;2;624
708618933;34;M;solteiro;mestrado;0;10;1;170893,48;6;0;0;1;1;347
708620283;35;M;solteiro;ensino fundam;0;22;1;86906,34;6;0;0;1;1;348
708621408;39;F;solteiro;ensino fundam;0;26;1;20805,29;3;0;0;1;0;354
708623283;35;M;solteiro;mestrado;0;13;1;86990,42;6;0;0;1;1;379
708626058;49;F;casado;mestrado;2;32;1;22457,47;6;0;0;1;0;481
708633783;43;M;solteiro;mestrado;0;28;1;121114,42;3;0;0;1;0;353
708635058;53;F;solteiro;graduacao;0;43;1;24048,3;4;0;0;1;0;413
708637758;49;F;solteiro;ensino medio;0;34;0;0;4;0;0;1;1;439
708642708;40;F;casado;mestrado;2;34;0;0;3;1;298000;1;1;318
708644208;39;F;solteiro;ensino medio;0;32;1;64191,28;5;0;0;1;0;443
708646233;44;F;divorciado;ensino fundam;1;34;0;0;3;1;363000;1;1;372
708649683;51;M;solteiro;graduacao;0;46;1;122784,33;1;1;1547000;1;1;774
708651933;56;M;casado;ensino medio;2;43;1;100822,73;3;1;231000;1;0;372
708652908;47;F;casado;mestrado;5;32;1;23127,73;1;1;450000;1;2;639
708653958;38;M;casado;ensino fundam;3;34;1;89510,66;5;0;0;1;1;360
708654933;51;F;casado;ensino fundam;2;40;1;19427,7;3;1;202000;4;1;493
708655983;49;F;divorciado;graduacao;3;37;0;0;3;1;285000;1;1;299
708657033;60;F;solteiro;ensino fundam;0;51;1;23781,95;5;0;0;1;1;531
708660408;40;F;casado;ensino fundam;1;34;1;62942,4;4;0;0;1;0;381
708662583;41;M;casado;graduacao;3;28;1;103353,97;1;1;835000;2;0;725
708664008;57;M;casado;ensino fundam;3;42;1;134303,22;6;0;0;1;0;532
708665133;40;M;casado;ensino medio;2;26;1;122438,56;6;0;0;1;1;411
708666258;43;M;casado;ensino fundam;4;33;1;61295,09;5;0;0;1;1;353
708668283;39;M;casado;ensino medio;2;18;1;117787,53;5;0;0;1;2;354
708669408;54;M;solteiro;ensino fundam;2;44;1;104988,46;6;0;0;1;0;547
708670608;48;F;casado;mestrado;5;34;0;0;4;0;0;1;1;426
708671733;48;M;casado;ensino medio;4;33;1;99646,29;2;1;409000;1;1;505
708672708;49;M;na;graduacao;4;30;1;133655,7;2;1;399000;1;1;680
708679383;44;F;na;ensino fundam;2;31;1;17867,69;5;0;0;1;0;331
708680583;53;F;casado;ensino medio;1;35;1;72924,75;4;0;0;1;0;398
708681708;51;F;solteiro;ensino fundam;0;40;1;19109,49;5;0;0;1;1;359
708682908;43;F;solteiro;ensino fundam;1;26;0;0;2;1;864000;1;0;357
708684108;46;F;casado;ensino medio;4;31;1;65028,79;5;0;0;1;1;343
708687483;54;F;solteiro;ensino medio;1;34;1;19058,73;3;0;0;2;0;360
708688608;62;F;casado;graduacao;1;45;1;20034,44;5;0;0;1;1;428
708689958;48;F;na;ensino medio;4;33;1;71193,1;4;0;0;1;1;539
708692583;44;F;solteiro;graduacao;0;28;1;18700,45;3;0;0;1;1;340
708693558;50;F;solteiro;graduacao;0;36;1;28054,13;3;0;0;2;0;572
708694983;55;F;na;mestrado;1;36;1;41764,6;1;1;1475000;1;1;673
708697983;56;M;na;graduacao;0;54;1;216925,05;1;1;877000;1;1;799
708699108;39;F;solteiro;graduacao;0;33;1;22012,85;4;0;0;1;1;427
708701358;39;F;solteiro;mestrado;0;34;1;20699,92;3;0;0;1;0;428
708702258;40;F;solteiro;mestrado;0;34;0;0;3;0;0;1;0;234
708703308;35;F;casado;ensino fundam;1;22;1;60445,66;6;0;0;1;2;406
708704433;36;F;solteiro;graduacao;0;20;0;0;6;0;0;1;1;320
708705783;47;M;casado;doutorado;3;33;1;95452,23;6;0;0;1;1;368
708706833;39;F;divorciado;mestrado;3;33;0;0;4;0;0;1;1;327
708707808;57;M;na;ensino medio;2;44;1;103791,49;4;0;0;1;0;421
708708858;50;F;solteiro;ensino medio;0;33;1;19961,98;1;1;255000;1;1;397
708710283;45;M;casado;doutorado;5;37;1;192365,42;6;0;0;2;0;693
708711483;57;M;casado;ensino fundam;2;43;1;133843,24;2;1;152000;1;1;458
708712833;45;F;casado;ensino medio;5;35;1;22278,59;4;0;0;1;0;400
708714108;42;F;solteiro;graduacao;0;29;1;17873,05;5;0;0;2;0;374
708720558;44;M;casado;ensino fundam;3;28;1;95131,23;5;0;0;1;1;359
708721533;56;F;casado;ensino medio;1;37;1;39344,98;2;1;1311000;1;0;698
708722583;39;F;solteiro;mestrado;1;33;1;19185,84;5;0;0;1;1;390
708723858;48;F;solteiro;ensino medio;1;36;1;21671,26;1;1;384000;1;0;370
708724908;47;F;solteiro;graduacao;0;33;1;22076,16;4;0;0;1;0;432
708726708;42;F;solteiro;ensino medio;0;34;1;62975,39;6;0;0;1;0;305
708727983;62;M;solteiro;mestrado;0;35;1;105502,86;6;0;0;1;0;329
708731658;53;F;casado;graduacao;0;38;1;18873,39;3;1;159000;1;0;437
708733983;50;F;solteiro;doutorado;0;33;1;66849,23;6;0;0;1;1;373
708735183;35;F;casado;graduacao;2;19;1;17508,68;4;0;0;1;1;346
708736608;40;M;casado;ensino medio;3;24;1;176575,54;5;0;0;1;1;329
708740808;45;M;casado;ensino medio;4;33;1;65259,13;5;0;0;1;0;479
708741633;52;M;casado;graduacao;4;41;1;98343,58;6;0;0;1;0;474
708744933;35;M;casado;graduacao;2;34;1;87410,95;4;0;0;1;0;467
708745983;37;F;casado;ensino fundam;2;34;1;65392,4;4;0;0;1;1;472
708747708;43;M;casado;ensino medio;3;32;1;121815,31;4;0;0;1;0;324
708748833;37;F;solteiro;ensino medio;0;23;1;72139,38;2;1;892000;1;0;553
708753633;45;F;casado;doutorado;3;31;1;68154,21;2;1;446000;1;0;364
708754833;48;F;solteiro;mestrado;0;36;0;0;3;0;0;1;1;441
708757233;44;F;casado;graduacao;2;30;1;21010,02;4;0;0;1;1;443
708758658;49;M;casado;ensino medio;4;40;1;132843,36;5;0;0;1;0;620
708759408;48;F;solteiro;mestrado;0;38;1;89019,89;6;0;0;1;1;698
708760458;47;M;solteiro;graduacao;0;33;1;130136,52;4;0;0;1;1;578
708761733;52;F;casado;graduacao;3;34;0;0;2;1;442000;1;1;374
708765933;46;M;casado;doutorado;2;34;1;99421,69;3;1;487000;1;1;498
708768258;51;F;casado;ensino fundam;4;42;1;23709,38;6;0;0;1;0;487
708770883;43;M;casado;mestrado;2;29;1;146543,71;1;1;1530000;1;1;753
708772308;41;M;casado;mestrado;3;21;1;118572,84;4;0;0;1;1;324
708773583;52;F;na;ensino medio;3;43;1;71559,64;5;0;0;1;1;493
708774708;47;F;na;ensino medio;4;28;1;68175,17;6;0;0;1;0;367
708776658;54;M;casado;mestrado;2;40;1;137274,57;6;0;0;1;1;556
708780783;43;F;solteiro;ensino medio;0;30;1;68275,49;4;0;0;1;1;463
708784083;47;F;solteiro;mestrado;0;34;1;22327,82;5;0;0;1;0;408
708784908;47;F;na;ensino medio;3;33;0;0;5;0;0;1;0;459
708788583;64;F;na;ensino fundam;1;55;1;20313,05;3;1;165000;1;0;425
708790833;42;M;na;mestrado;5;28;1;178664,76;5;0;0;1;1;381
708793008;46;M;divorciado;doutorado;3;32;1;125400,12;5;0;0;1;1;448
708794133;46;F;na;graduacao;4;36;1;20391,35;3;1;320000;1;0;375
708796458;30;F;solteiro;ensino medio;0;17;1;17751,99;3;0;0;1;0;285
708797583;49;F;solteiro;ensino fundam;1;28;0;0;6;0;0;1;1;274
